"Year","pmdi"
1896,1.12333333333333
1897,1.2825
1898,-1.45
1899,-0.955833333333333
1900,0.901666666666667
1901,1.64
1902,0.941666666666667
1903,0.618333333333333
1904,1.0975
1905,1.35666666666667
1906,2.3025
1907,3.97
1908,0.68
1909,0.545833333333333
1910,-0.623333333333333
1911,0.951666666666667
1912,0.219166666666667
1913,0.401666666666667
1914,1.53333333333333
1915,1.57416666666667
1916,0.734166666666667
1917,0.13
1918,-1.88333333333333
1919,-0.680833333333333
1920,-1.1475
1921,1.32166666666667
1922,0.495
1923,0.52
1924,-3.4725
1925,-0.3225
1926,-0.546666666666667
1927,1.23333333333333
1928,-0.313333333333333
1929,-1.5575
1930,-1.21666666666667
1931,-2.57916666666667
1932,-0.215
1933,-0.7425
1934,-2.475
1935,0.00249999999999997
1936,-0.5175
1937,0.1275
1938,2.125
1939,-1.2875
1940,-0.341666666666667
1941,2.74416666666667
1942,3.3275
1943,1.88333333333333
1944,-0.203333333333333
1945,0.389166666666667
1946,-0.415833333333333
1947,-1.735
1948,0.09
1949,-0.493333333333333
1950,-1.7425
1951,0.263333333333333
1952,2.07666666666667
1953,0.9325
1954,-0.113333333333333
1955,-0.433333333333333
1956,1.145
1957,-0.0208333333333333
1958,3.75
1959,-2.19583333333333
1960,-3.04583333333333
1961,-1.98333333333333
1962,-0.846666666666667
1963,0.8975
1964,0.08
1965,0.8175
1966,-1.06166666666667
1967,1.39333333333333
1968,-0.8725
1969,1.37583333333333
1970,-0.418333333333333
1971,0.61
1972,-1.10166666666667
1973,0.146666666666667
1974,1.27833333333333
1975,0.0633333333333333
1976,-2.23583333333333
1977,-4.60916666666667
1978,1.1275
1979,0.0225
1980,1.42583333333333
1981,-1.92416666666667
1982,2.57583333333333
1983,6.07666666666667
1984,1.77
1985,-1.28
1986,0.240833333333333
1987,-2.54
1988,-1.80666666666667
1989,-1.535
1990,-2.12833333333333
1991,-1.495
1992,-1.97
1993,1.57416666666667
1994,-1.845
1995,3.06833333333333
1996,1.38833333333333
1997,-0.225
1998,3.6
1999,2.71833333333333
2000,-0.719166666666667
2001,-1.99666666666667
2002,-2.29666666666667
2003,-0.318333333333333
2004,-1.58333333333333
2005,2.53583333333333
2006,2.52583333333333
2007,-3.31333333333333
2008,-3.33583333333333
2009,-3.84916666666667
2010,-0.2775
2011,2.4975
2012,-0.97
2013,-2.0775
2014,-5.42
2015,-4.90583333333333
2016,-2.2425
2017,2.07166666666667
2018,-2.26416666666667
2019,0.469166666666667
2020,-1.45666666666667
2021,-5.14666666666667
2022,-4.15333333333333
2023,0.616666666666667
